No,Name,HP,Atk,Def,SPAtk,SPDef,Spd,Tot,EV_HP,EV_Atk,EV_Def,EV_SPAtk,EV_SPDef,EV_Spd
1,Bulbasaur,45,49,49,65,65,45,318,0,0,0,1,0,0
2,Ivysaur,60,62,63,80,80,60,405,0,0,0,1,1,0
3,Venusaur,80,100,123,122,120,80,625,0,0,0,2,1,0
4,Charmander,39,52,43,60,50,65,309,0,0,0,0,0,1
5,Charmeleon,58,64,58,80,65,80,405,0,0,0,1,0,1
6,Charizard,78,130,111,130,85,100,634,0,0,0,3,0,0
7,Squirtle,44,48,65,50,64,43,314,0,0,1,0,0,0
8,Wartortle,59,63,80,65,80,58,405,0,0,1,0,1,0
9,Blastoise,79,103,120,135,115,78,630,0,0,0,0,3,0
10,Caterpie,45,30,35,20,20,45,195,1,0,0,0,0,0
11,Metapod,50,20,55,25,25,30,205,0,0,2,0,0,0
12,Butterfree,60,45,50,90,80,70,395,0,0,0,2,1,0
13,Weedle,40,35,30,20,20,50,195,0,0,0,0,0,1
14,Kakuna,45,25,50,25,25,35,205,0,0,2,0,0,0
15,Beedrill,65,90,40,45,80,75,395,0,2,0,0,1,0
16,Pidgey,40,45,40,35,35,56,251,0,0,0,0,0,1
17,Pidgeotto,63,60,55,50,50,71,349,0,0,0,0,0,2
18,Pidgeot,83,80,80,135,80,121,579,0,0,0,0,0,3
19,Rattata,30,56,35,25,35,72,253,0,0,0,0,0,1
20,Raticate,75,71,70,40,80,77,413,0,0,0,0,0,2
21,Spearow,40,60,30,31,31,70,262,0,0,0,0,0,1
22,Fearow,65,90,65,61,61,100,442,0,0,0,0,0,2
23,Ekans,35,60,44,40,54,55,288,0,1,0,0,0,0
24,Arbok,60,95,69,65,79,80,448,0,2,0,0,0,0
25,Pikachu,35,55,40,50,50,90,320,0,0,0,0,0,2
26,Raichu,60,90,55,90,80,110,485,0,0,0,0,0,3
27,Sandshrew,50,75,90,10,35,40,300,0,0,1,0,0,0
28,Sandslash,75,100,110,45,55,65,450,0,0,2,0,0,0
29,Nidoran♀,55,47,52,40,40,41,275,1,0,0,0,0,0
30,Nidorina,70,62,67,55,55,56,365,2,0,0,0,0,0
